,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
87,Pinamonti,a,FRO,25,"5,82","6,5",5,0,0 / 0,0,3,2,0,10,-,
88,Pasalic,c,ATA,31,"5,94","6,5",5,0,0 / 0,0,3,1,0,14,-,3
89,Luis Alberto,c,LAZ,27,"6,0","6,5",4,0,1 / 1,0,5,5,1,20,-,4
90,Zajc,c,EMP,20,"6,02","6,5",3,0,0 / 0,0,2,1,1,11,-,
91,Gosens,d,ATA,28,"6,14","6,5",3,0,0 / 0,0,2,2,0,13,-,3
92,Reca,d,ATA,1,"6,5","6,5",0,0,0 / 0,0,0,0,0,2,-,3
93,Zaniolo,c,ROM,26,"6,12","6,5",4,0,0 / 0,0,2,8,0,10,-,5
94,Chiellini,d,JUV,23,"6,37","6,48",1,0,0 / 0,0,1,3,0,13,-,1
95,Matuidi,c,JUV,30,"6,18","6,47",3,0,0 / 0,0,2,5,0,16,-,1
96,Ciofani D,a,FRO,28,"5,86","6,45",5,0,2 / 2,0,2,1,0,11,-,
97,Vignato,c,CHI,10,"6,05","6,45",1,0,0 / 0,0,1,0,0,7,-,
98,Ucan,c,EMP,7,"5,93","6,43",1,0,0 / 0,0,1,1,0,6,-,
99,Brighi,c,EMP,6,"6,0","6,42",1,0,0 / 0,0,0,1,0,5,-,
100,Can,c,JUV,26,"6,12","6,42",4,0,1 / 1,0,1,7,0,16,-,1
101,Ciano,a,FRO,32,"5,92","6,42",7,0,2 / 3,0,4,12,0,11,-,
102,Pellegrini Lo.,c,ROM,25,"6,12","6,4",2,0,0 / 0,0,4,6,0,13,-,5
103,Poli,c,BOL,28,"6,02","6,39",4,0,0 / 0,0,1,5,0,13,-,12
104,Benassi,c,FIO,32,"5,84","6,39",7,0,0 / 0,0,0,5,1,12,-,9
105,Parolo,c,LAZ,32,"6,0","6,38",4,0,0 / 0,0,3,7,0,15,-,4
106,Pajac,d,EMP,13,"6,04","6,38",2,0,0 / 0,0,1,5,0,7,-,
107,Baselli,c,TOR,34,"6,06","6,37",4,0,0 / 0,0,1,5,0,13,-,16
108,Ramirez,c,SAM,26,"5,90","6,37",4,0,0 / 0,0,4,6,1,12,-,15
109,Berenguer,c,TOR,22,"6,02","6,36",2,0,0 / 0,0,3,4,0,9,-,16
110,Di Lorenzo,d,EMP,37,"5,99","6,36",5,0,0 / 0,0,3,8,0,12,-,
111,Lazovic,c,GEN,33,"5,98","6,35",3,0,0 / 0,0,4,2,0,11,-,17
112,Sensi,c,SAS,28,"6,12","6,34",2,0,0 / 0,0,4,8,0,11,-,8
113,Ghoulam,d,NAP,15,"6,0","6,33",1,0,0 / 0,0,3,2,0,9,-,7
114,Koulibaly,d,NAP,35,"6,29","6,33",2,0,0 / 0,0,1,9,1,17,-,7
115,Freuler,c,ATA,35,"6,16","6,33",2,0,0 / 0,0,2,4,0,16,-,3
116,Valzania,c,FRO,15,"6,0","6,33",2,0,0 / 0,0,1,4,0,7,-,
117,Bernardeschi,c,JUV,25,"6,1","6,32",2,0,0 / 0,0,3,5,1,12,-,1
118,De Silvestri,d,TOR,31,"6,03","6,32",2,0,0 / 0,0,4,2,0,13,-,16
119,Traore' Hj.,c,EMP,30,"6,12","6,32",2,0,0 / 0,0,2,4,0,12,-,
120,Paganini,c,FRO,13,"5,92","6,31",2,0,0 / 0,0,0,2,0,7,-,
121,Florenzi,d,ROM,29,"6,03","6,31",3,0,0 / 0,0,2,4,1,13,-,5
122,Acerbi,d,LAZ,37,"6,14","6,31",3,0,0 / 0,0,0,3,1,13,-,4
123,Calhanoglu,c,MIL,35,"5,94","6,3",3,0,0 / 0,0,5,3,0,16,-,6
124,Mraz,a,EMP,5,"5,7","6,3",1,0,0 / 0,0,0,0,0,4,-,
125,De Rossi,c,ROM,18,"6,14","6,28",1,0,0 / 0,0,1,3,0,10,-,5
126,Pjanic,c,JUV,30,"6,03","6,28",2,0,0 / 0,0,5,5,1,19,-,1
127,N'koulou,d,TOR,36,"6,22","6,28",2,0,0 / 0,0,0,6,1,14,-,16
128,Pussetto,a,UDI,32,"5,94","6,28",4,0,0 / 0,0,3,8,0,11,-,14
129,Mirante,p,ROM,11,"6,55","6,27",0,6,0 / 0,1,0,0,0,10,-,5
130,Candreva,c,INT,11,"6,0","6,27",1,0,0 / 0,0,0,0,0,9,-,2
131,Milinkovic-Savic,c,LAZ,31,"5,84","6,27",5,0,0 / 0,0,3,7,1,21,-,4
132,La Gumina,a,EMP,17,"5,82","6,26",2,0,0 / 0,0,2,1,0,11,-,
133,Lukic,c,TOR,17,"6,06","6,26",2,0,0 / 0,0,0,7,0,9,-,16
134,Machin,c,PAR,2,"5,75","6,25",0,0,0 / 0,0,1,0,0,4,-,10
135,Joao Mario N.,c,INT,16,"6,06","6,25",1,0,0 / 0,0,1,2,0,7,-,2
136,Borini,c,MIL,18,"5,94","6,25",2,0,0 / 0,0,1,3,0,8,-,6
137,Brignola,a,SAS,4,"5,75","6,25",1,0,0 / 0,0,0,2,0,5,-,8
138,Bonucci,d,JUV,29,"5,97","6,24",3,0,0 / 0,0,0,2,0,12,-,1
139,Lulic,c,LAZ,35,"5,94","6,24",4,0,0 / 0,0,1,5,0,11,-,4
140,Veretout,c,FIO,33,"6,03","6,24",5,0,5 / 6,0,2,12,1,14,-,9
141,Romagnoli,d,MIL,32,"6,22","6,23",2,0,0 / 0,0,0,5,1,13,-,6
142,Cancelo,d,JUV,24,"6,15","6,23",1,0,0 / 0,0,2,6,0,11,-,1
143,Kluivert,a,ROM,24,"5,90","6,23",1,0,0 / 0,0,6,2,0,14,-,5
144,Lasagna,a,UDI,34,"5,76","6,21",6,0,0 / 1,0,1,2,0,16,-,14
145,Allan,c,NAP,33,"6,21","6,21",1,0,0 / 0,0,2,10,0,15,-,7
146,Alex Sandro,d,JUV,29,"6,12","6,21",1,0,0 / 0,0,3,7,0,14,-,1
147,Locatelli,c,SAS,26,"5,94","6,21",2,0,0 / 0,0,4,7,0,10,-,8
148,Ferrari G.,d,SAS,31,"5,97","6,21",4,0,0 / 0,0,0,9,0,10,-,8
149,Rog,c,NAP,7,"6,0","6,21",1,0,0 / 0,0,0,3,0,5,-,7
150,De Vrij,d,INT,28,"6,09","6,20",2,0,0 / 0,0,0,2,0,14,-,2
151,Bruno Alves,d,PAR,33,"6,02","6,20",4,0,0 / 0,0,1,8,1,9,-,10
152,Lirola,d,SAS,35,"5,97","6,2",2,0,0 / 0,0,7,2,0,11,-,8
153,Pessina,c,ATA,5,"6,0","6,2",0,0,0 / 0,0,1,0,0,5,-,3
154,Toloi,d,ATA,21,"6,07","6,19",1,0,0 / 0,0,3,1,1,12,-,3
155,Cutrone,a,MIL,29,"5,84","6,19",3,0,0 / 0,0,2,2,0,14,-,6
156,Barreto,c,SAM,11,"6,09","6,18",0,0,0 / 0,0,2,2,0,4,-,15
157,Dell'orco,d,EMP,14,"5,93","6,18",1,0,0 / 0,0,1,1,0,6,-,
158,Praet,c,SAM,34,"6,0","6,18",2,0,0 / 0,0,3,6,0,12,-,15
159,Antenucci,a,SPA,30,"5,78","6,18",5,0,1 / 2,0,0,0,0,17,-,20
160,Dionisi F.,a,FRO,6,"5,83","6,17",1,0,0 / 0,0,0,2,0,6,-,
161,Vrsaljko,d,INT,9,"6,06","6,17",0,0,0 / 0,0,2,2,0,11,-,2
162,Spinazzola,d,JUV,9,"6,06","6,17",0,0,0 / 0,0,1,0,0,6,-,1
163,Lapadula,a,GEN,6,"5,75","6,17",1,0,0 / 0,0,0,1,0,7,-,17
164,Malcuit,d,NAP,23,"6,13","6,17",0,0,0 / 0,0,2,3,0,10,-,7
165,Di Francesco F.,a,SAS,16,"5,72","6,16",2,0,0 / 0,0,2,2,0,11,-,8
166,Fazio,d,ROM,34,"5,81","6,16",5,0,0 / 0,0,0,6,0,12,-,5
167,Simeone,a,FIO,35,"5,59","6,16",6,0,0 / 0,0,3,2,0,17,-,9
168,Pezzella Ger.,d,FIO,32,"6,09","6,16",2,0,0 / 0,0,1,6,0,11,-,9
169,De Roon,c,ATA,34,"6,06","6,15",2,0,1 / 1,0,1,8,0,11,-,3
170,Obi,c,CHI,10,"5,9","6,15",1,0,0 / 0,0,0,1,0,5,-,
171,Fofana,c,UDI,31,"5,94","6,15",2,0,0 / 0,0,3,5,0,11,-,14
172,Soriano,c,BOL,24,"5,94","6,15",2,0,0 / 0,0,2,6,0,9,-,12
173,Meite',c,TOR,34,"6,01","6,15",2,0,0 / 0,0,3,7,1,11,-,16
174,Murgia,c,SPA,14,"5,96","6,14",0,0,0 / 0,0,3,1,0,7,-,20
175,Linetty,c,SAM,32,"5,94","6,14",3,0,0 / 0,0,3,11,0,10,-,15
176,Birsa,c,CAG,26,"5,85","6,13",2,0,1 / 1,0,2,1,0,12,-,13
177,Rugani,d,JUV,15,"5,83","6,13",2,0,0 / 0,0,0,3,0,7,-,1
178,Zaza,a,TOR,26,"5,75","6,13",4,0,0 / 0,0,3,8,1,15,-,16
179,Manolas,d,ROM,27,"6,13","6,13",1,0,0 / 0,0,0,6,0,12,-,5
180,Bonifazi,d,SPA,27,"5,94","6,13",2,0,0 / 0,0,0,2,0,8,-,20
181,D'ambrosio,d,INT,29,"5,88","6,12",2,0,0 / 0,0,4,6,0,10,-,2
182,Bakayoko,c,MIL,29,"6,09","6,12",1,0,0 / 0,0,1,5,1,12,-,6
183,Rincon,c,TOR,33,"6,06","6,11",3,0,0 / 0,0,0,15,0,10,-,16
184,Romulo,c,LAZ,27,"5,98","6,11",1,0,1 / 1,0,2,1,1,11,-,4
185,Cristante,c,ROM,35,"5,86","6,11",4,0,0 / 0,0,2,10,0,14,-,5
186,Palomino,d,ATA,28,"6,09","6,11",1,0,0 / 0,0,1,5,1,9,-,3
187,Stepinski,a,CHI,35,"5,64","6,11",6,0,0 / 0,0,1,5,0,9,-,
188,Criscito,d,GEN,35,"6,03","6,11",2,0,1 / 1,0,4,12,1,11,-,17
189,Barilla',c,PAR,31,"5,92","6,11",3,0,0 / 0,0,2,10,0,8,-,10
190,Samir,d,UDI,21,"5,93","6,10",2,0,0 / 0,0,1,7,0,8,-,14
191,Favilli,a,GEN,5,"5,9","6,1",0,0,0 / 0,0,1,0,0,6,-,17
192,Schick,a,ROM,21,"5,74","6,10",3,0,0 / 0,0,0,4,0,12,-,5
193,Vecino,c,INT,27,"5,87","6,09",3,0,0 / 0,0,1,8,0,10,-,2
194,Dimarco,d,PAR,11,"6,0","6,09",1,0,0 / 0,0,0,4,0,6,-,10
195,Vicari,d,SPA,28,"5,95","6,09",2,0,0 / 0,0,1,6,0,9,-,20
196,Luiz Felipe,d,LAZ,17,"5,97","6,09",1,0,0 / 0,0,1,4,0,7,-,4
197,Matri,a,SAS,15,"5,73","6,07",2,0,0 / 0,0,0,3,0,5,-,8
198,Sanabria,a,GEN,14,"5,68","6,07",3,0,0 / 1,0,0,1,0,11,-,17
199,Acquah,c,EMP,22,"5,89","6,07",2,0,0 / 0,0,0,4,0,8,-,
200,Siligardi,a,PAR,27,"5,93","6,07",1,0,0 / 0,0,2,2,0,9,-,10
201,Milenkovic,d,FIO,34,"5,94","6,07",3,0,0 / 0,0,0,7,1,10,-,9
202,Sammarco,c,FRO,8,"5,75","6,06",1,0,0 / 0,0,0,1,0,5,-,
203,Romero,d,GEN,27,"6,06","6,06",2,0,0 / 0,0,1,10,2,9,-,17
204,De Sciglio,d,JUV,20,"6,05","6,05",0,0,0 / 0,0,1,2,0,8,-,1
205,Bentancur,c,JUV,29,"5,93","6,05",2,0,0 / 0,0,2,7,1,9,-,1
206,Danilo Lar.,d,BOL,35,"6,01","6,04",1,0,0 / 0,0,0,4,0,12,-,12
207,Barella,c,CAG,35,"6,09","6,03",1,0,0 / 1,0,4,8,2,12,-,13
208,Brozovic,c,INT,32,"5,98","6,02",2,0,0 / 0,0,1,10,1,11,-,2
209,Djuricic,c,SAS,22,"5,77","6,02",2,0,0 / 0,0,1,1,1,7,-,8
210,Pasqual,d,EMP,20,"5,8","6,0",1,0,1 / 1,0,2,2,0,7,-,
211,Schelotto,d,CHI,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,-,
212,Barzagli,d,JUV,4,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-,1
213,Biglia,c,MIL,15,"5,9","6,0",1,0,0 / 0,0,0,3,0,7,-,6
214,Rafael Cabral,p,SAM,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-,15
215,Dezi,c,PAR,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-,10
216,Strootman,c,ROM,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,9,-,5
217,Hallfredsson,c,UDI,8,"5,75","6,0",1,0,0 / 0,0,0,2,0,5,-,14
218,Fares,c,SPA,35,"5,89","6,0",3,0,0 / 0,0,1,12,0,10,-,20
219,Chiriches,d,NAP,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-,7
220,Rodriguez A,a,EMP,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-,
221,Gerson,c,FIO,35,"5,83","6,0",3,0,0 / 0,0,3,8,0,10,-,9
222,Musacchio,d,MIL,29,"5,93","6,0",1,0,0 / 0,0,0,2,0,10,-,6
223,Lyanco,d,BOL,14,"5,93","6,0",1,0,0 / 0,0,0,2,1,7,-,12
224,Douglas Costa,c,JUV,13,"5,88","6,0",1,0,0 / 0,0,0,1,1,17,-,1
225,Eysseric,c,FIO,8,"5,94","6,0",0,0,0 / 0,0,1,1,0,6,-,9
226,Bruno Jordao,c,LAZ,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-,4
227,Pedro Neto,a,LAZ,2,"6,0","6,0",0,0,0 / 0,0,0,1,0,3,-,4
228,Cedric Soares,d,INT,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,6,-,2
229,Nzonzi,c,ROM,30,"5,95","6,0",1,0,0 / 0,0,2,7,0,11,-,5
230,Odgaard,a,SAS,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-,8
231,Berisha V.,c,LAZ,5,"6,0","6,0",0,0,0 / 0,0,0,0,0,7,-,4
232,Sprocati,a,PAR,12,"5,75","6,0",1,0,0 / 0,0,0,0,0,5,-,10
233,Mirallas,a,FIO,24,"5,75","6,0",2,0,0 / 0,0,1,2,0,8,-,9
234,Burruchaga,c,CHI,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-,
235,Paqueta',c,MIL,13,"5,92","6,0",1,0,0 / 0,0,1,4,1,13,-,6
236,Ionita,c,CAG,37,"5,77","5,99",3,0,0 / 0,0,2,4,1,8,-,13
237,Calabria,d,MIL,25,"5,92","5,98",1,0,0 / 0,0,1,5,0,8,-,6
238,Djimsiti,d,ATA,22,"5,95","5,98",1,0,0 / 0,0,1,3,0,7,-,3
239,Bastoni,d,PAR,20,"5,88","5,98",1,0,0 / 0,0,0,2,0,8,-,10
240,Valoti,c,SPA,21,"5,83","5,98",2,0,0 / 0,0,0,6,0,7,-,20
241,Biraghi,d,FIO,36,"5,86","5,97",1,0,0 / 0,0,5,8,0,9,-,9
242,Skriniar,d,INT,35,"6,09","5,97",0,0,0 / 0,0,0,4,0,14,-,2
243,Stryger Larsen,d,UDI,36,"5,86","5,97",1,0,0 / 0,0,4,6,0,9,-,14
244,Ekdal,c,SAM,32,"6,06","5,97",0,0,0 / 0,0,0,6,0,10,-,15
245,Bennacer,c,EMP,35,"6,01","5,97",0,0,0 / 0,0,2,7,0,9,-,
246,Aina,d,TOR,29,"5,86","5,97",1,0,0 / 0,0,3,4,1,9,-,16
247,Zapata C.,d,MIL,12,"6,12","5,96",0,0,0 / 0,0,0,4,0,5,-,6
248,Hamsik,c,NAP,13,"6,0","5,96",0,0,0 / 0,0,0,1,0,11,-,7
249,Felipe,d,SPA,28,"5,84","5,96",3,0,0 / 0,0,1,13,0,10,-,20
250,Srna,d,CAG,26,"5,94","5,96",0,0,0 / 0,0,4,5,1,8,-,13
251,Ter Avest,d,UDI,13,"5,88","5,96",0,0,0 / 0,0,1,0,0,6,-,14
252,Mario Rui,d,NAP,19,"5,89","5,95",1,0,0 / 0,0,1,4,1,9,-,7
253,Paloschi,a,SPA,17,"5,68","5,94",2,0,0 / 0,0,0,3,0,8,-,20
254,Asamoah,d,INT,32,"6,0","5,94",0,0,0 / 0,0,1,6,0,11,-,2
255,Abate,d,MIL,18,"6,06","5,94",0,0,0 / 0,0,0,4,0,7,-,6
256,Cuadrado,c,JUV,16,"5,75","5,94",1,0,0 / 0,0,2,4,0,11,-,1
257,Pisacane,d,CAG,26,"5,90","5,94",1,0,0 / 0,0,1,6,0,8,-,13
258,Mandragora,c,UDI,34,"5,79","5,94",3,0,0 / 0,0,1,8,1,9,-,14
259,Barrow,a,ATA,17,"5,76","5,94",1,0,0 / 0,0,0,0,0,9,-,3
260,Magnani,d,SAS,18,"5,94","5,94",0,0,0 / 0,0,1,2,0,7,-,8
261,D'alessandro,c,UDI,20,"5,95","5,92",0,0,0 / 0,0,1,3,0,7,-,14
262,Bessa,c,GEN,32,"5,89","5,92",1,0,0 / 0,0,2,8,0,7,-,17
263,Antonelli,d,EMP,12,"5,88","5,92",0,0,0 / 0,0,1,1,0,5,-,
264,Beghetto,c,FRO,26,"5,87","5,92",0,0,0 / 0,0,3,3,0,8,-,
265,Kownacki,a,SAM,6,"5,75","5,92",1,0,1 / 2,0,1,0,0,7,-,15
266,Lucas Leiva,c,LAZ,26,"5,98","5,92",0,0,0 / 0,0,2,7,0,10,-,4
267,Romagna,d,CAG,18,"5,97","5,92",0,0,0 / 0,0,0,2,0,8,-,13
268,Behrami,c,UDI,18,"5,92","5,92",1,0,0 / 0,0,0,6,0,7,-,14
269,Dijks,d,BOL,24,"5,94","5,92",1,0,0 / 0,0,0,5,1,9,-,12
270,De Maio,d,UDI,22,"5,89","5,91",1,0,0 / 0,0,0,3,1,8,-,14
271,Andersen,d,SAM,32,"6,02","5,91",0,0,0 / 0,0,0,7,0,10,-,15
272,Dabo,c,FIO,17,"5,79","5,91",1,0,0 / 0,0,1,4,0,6,-,9
273,Sturaro,c,GEN,5,"5,5","5,9",1,0,0 / 0,0,0,0,1,5,-,17
274,Giaccherini,c,CHI,26,"5,87","5,90",3,0,1 / 2,0,1,8,0,9,-,
275,Benatia,d,JUV,5,"6,1","5,9",0,0,0 / 0,0,0,2,0,7,-,1
276,Pjaca,a,FIO,15,"5,67","5,9",1,0,0 / 0,0,1,1,0,11,-,9
277,Rodriguez R.,d,MIL,35,"5,91","5,9",0,0,0 / 0,0,2,5,0,9,-,6
278,Schiattarella,c,SPA,25,"5,94","5,9",0,0,0 / 0,0,4,10,0,8,-,20
279,Stulac,c,PAR,21,"5,98","5,90",0,0,0 / 0,0,1,3,1,7,-,10
280,Mbaye,d,BOL,23,"5,74","5,89",2,0,0 / 0,0,0,5,0,7,-,12
281,Borja Valero,c,INT,23,"5,96","5,89",0,0,0 / 0,0,0,4,0,7,-,2
282,Ghiglione,d,FRO,9,"5,78","5,89",1,0,0 / 0,0,0,4,0,4,-,
